,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
5764,1408043,08/13/2014,2014,8,300 BLOCK,W Florida Av,08/13/2014,Weeds/Grass,Owner Abated,08/21/2014,Not Available,False,0.0,"300 W Florida Av
Urbana, IL
(40.098337089, -88.210782812)",40.098337089,-88.210782812
5765,21-000291,01/27/2021,2021,1,400 Block,South Poplar Street,01/27/2021,Municipal Waste,Voluntarily Complied,02/04/2021,Phone,False,0.0,"400 South Poplar Street
Urbana, IL
(40.110163, -88.194410038)",40.110163,-88.194410038
5766,1006119,06/23/2010,2010,6,200 BLOCK,S Cottage Grove Av,06/24/2010,Weeds/Grass,Owner Abated,07/02/2010,Not Available,False,0.0,"200 S Cottage Grove Av
Urbana, IL
(40.111950826, -88.195685003)",40.111950826,-88.195685003
5767,1004004,04/15/2010,2010,4,2500 BLOCK,S Scovill Cir,04/16/2010,Weeds/Grass,Owner Abated,04/24/2010,Not Available,False,0.0,"2500 S Scovill Cir
Urbana, IL
(40.085352686, -88.20038511)",40.085352686,-88.20038511
5768,1707024,07/18/2017,2017,7,800 BLOCK,E Green St,07/18/2017,Municipal Waste,City Abated,07/26/2017,Not Available,False,0.0,"800 E Green St
Urbana, IL
(40.110948414, -88.199066585)",40.110948414,-88.199066585
5769,22-002923,09/09/2022,2022,9,700 Block,West Illinois Street,09/09/2022,Municipal Waste,Voluntarily Complied,09/23/2022,Phone,False,0.0,"700 West Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
5773,1307011,07/09/2013,2013,7,300 BLOCK,E Kerr Av,07/09/2013,Weeds/Grass,Owner Abated,07/17/2013,Not Available,False,0.0,"300 E Kerr Av
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
5774,18-000885,08/16/2018,2018,8,1500 Block,S Smith Road,08/16/2018,Weeds/Grass,Voluntarily Complied,08/24/2018,Phone,False,0.0,"1500 S Smith Road
Urbana, IL
(40.100000246, -88.175961927)",40.100000246,-88.175961927
5775,21-001817,08/11/2021,2021,8,700 Block,West California Avenue,08/11/2021,Municipal Waste,Voluntarily Complied,08/19/2021,Phone,False,0.0,"700 West California Avenue
Urbana, IL
(40.108356404, -88.216066042)",40.108356404,-88.216066042
5778,22-002524,08/08/2022,2022,8,400 Block,"South ""Cottage Grove"" Avenue",08/08/2022,Weeds/Grass,Voluntarily Complied,12/01/2022,Phone,False,0.0,"400 South Cottage Grove Avenue
Urbana, IL
(40.110163844, -88.195654917)",40.110163844,-88.195654917
5779,20-000582,04/23/2020,2020,4,2900 Block,"South ""Myra Ridge"" Drive",04/23/2020,Municipal Waste,Voluntarily Complied,05/01/2020,Phone,False,0.0,"2900 South Myra Ridge Drive
Urbana, IL
(40.080991402, -88.185150273)",40.080991402,-88.185150273
5780,21-000756,04/15/2021,2021,4,700 Block,North Broadway Avenue,04/15/2021,Municipal Waste,City Abated,05/12/2021,Phone,False,833.0,"700 North Broadway Avenue
Urbana, IL
(40.118919163, -88.2074976)",40.118919163,-88.2074976
5781,22-000385,03/01/2022,2022,3,800 Block,West Stoughton Street,03/01/2022,Weeds/Grass,Voluntarily Complied,05/10/2022,Phone,False,0.0,"800 West Stoughton Street
Urbana, IL
(40.113456135, -88.217761177)",40.113456135,-88.217761177
5783,18-036054,09/26/2018,2018,9,1000 Block,North Goodwin Avenue,09/26/2018,Municipal Waste,Voluntarily Complied,10/04/2018,Phone,False,0.0,"1000 North Goodwin Avenue
Urbana, IL
(40.121318263, -88.224066307)",40.121318263,-88.224066307
5784,709062,09/25/2007,2007,9,300 BLOCK,E Kerr St,09/28/2007,Municipal Waste,Owner Abated,10/06/2007,Not Available,False,0.0,"300 E Kerr St
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
5785,1406065,06/27/2014,2014,6,300 BLOCK,E Main St,06/27/2014,Weeds/Grass,Owner Abated,07/05/2014,Not Available,False,0.0,"300 E Main St
Urbana, IL
(40.112512574, -88.204932655)",40.112512574,-88.204932655
5786,1305084,05/14/2013,2013,5,800 BLOCK,E California Av,05/14/2013,Weeds/Grass,City Abated,05/22/2013,Not Available,False,0.0,"800 E California Av
Urbana, IL
(40.108597948, -88.198995959)",40.108597948,-88.198995959
5787,1101009,01/05/2011,2011,1,700 BLOCK,W Ohio St,01/05/2011,Municipal Waste,Owner Abated,01/13/2011,Not Available,False,0.0,"700 W Ohio St
Urbana, IL
(40.103777196, -88.216026135)",40.103777196,-88.216026135
5788,1108044,08/18/2011,2011,8,300 BLOCK,S Busey Av,08/18/2011,Municipal Waste,Owner Abated,08/26/2011,Not Available,False,0.0,"300 S Busey Av
Urbana, IL
(40.110563774, -88.217663648)",40.110563774,-88.217663648
5789,1504007,04/14/2015,2015,4,1300 BLOCK,E Silver St,04/14/2015,Municipal Waste,City Abated,04/22/2015,Not Available,False,0.0,"1300 E Silver St
Urbana, IL
(40.091547301, -88.192955131)",40.091547301,-88.192955131
5790,806070,06/30/2008,2008,6,1300 BLOCK,W Dublin St,07/01/2008,Weeds/Grass,Owner Abated,07/09/2008,Not Available,False,0.0,"1300 W Dublin St
Urbana, IL
(40.121296249, -88.225806306)",40.121296249,-88.225806306
5793,1207042,07/19/2012,2012,7,800 BLOCK,S Lincoln Av,07/20/2012,Weeds/Grass,Owner Abated,07/28/2012,Not Available,False,0.0,"800 S Lincoln Av
Urbana, IL
(40.10641362, -88.219173892)",40.10641362,-88.219173892
5796,1306028,06/18/2013,2013,6,1300 BLOCK,E Florida Av,06/18/2013,Municipal Waste,Owner Abated,06/26/2013,Not Available,False,0.0,"1300 E Florida Av
Urbana, IL
(40.098437848, -88.193425808)",40.098437848,-88.193425808
5798,18-000336,03/15/2018,2018,3,800 Block,E California Avenue,03/15/2018,Municipal Waste,Voluntarily Complied,03/23/2018,City Staff Reported,False,0.0,"800 E California Avenue
Urbana, IL
(40.108597948, -88.198995959)",40.108597948,-88.198995959
5799,23-001447,05/22/2023,2023,5,1000 Block,East Water Street,05/22/2023,Weeds/Grass,Voluntarily Complied,05/30/2023,Phone,False,0.0,"1000 East Water Street
Urbana, IL
(40.114035369, -88.19461263)",40.114035369,-88.19461263
5800,1411005,11/12/2014,2014,11,1200 BLOCK,Mitchem Dr A,11/12/2014,Weeds/Grass,Owner Abated,11/20/2014,Not Available,False,0.0,"1200 Mitchem Dr
A Urbana, IL
(40.092316357, -88.19421943)",40.092316357,-88.19421943
5801,1208061,08/27/2012,2012,8,700 BLOCK,W High St,08/27/2012,Municipal Waste,Owner Abated,09/04/2012,Not Available,False,0.0,"700 W High St
Urbana, IL
(40.10988641, -88.216066025)",40.10988641,-88.216066025
5802,1001010,01/25/2010,2010,1,400 BLOCK,S Cottage Grove Av,01/25/2010,Weeds/Grass,Owner Abated,02/02/2010,Not Available,False,0.0,"400 S Cottage Grove Av
Urbana, IL
(40.110163844, -88.195654917)",40.110163844,-88.195654917
5803,1005114,05/25/2010,2010,5,1200 BLOCK,S Anderson Dr,05/26/2010,Weeds/Grass,Owner Abated,06/03/2010,Not Available,False,0.0,"1200 S Anderson Dr
Urbana, IL
(40.103388668, -88.20007698)",40.103388668,-88.20007698
5805,710030,10/08/2007,2007,10,1000 BLOCK,S Cottage Grove Av,10/09/2007,Weeds/Grass,Owner Abated,10/17/2007,Not Available,False,0.0,"1000 S Cottage Grove Av
Urbana, IL
(40.104393053, -88.195556895)",40.104393053,-88.195556895
5806,20-000673,05/05/2020,2020,5,2400 Block,South Grange Drive,05/05/2020,Weeds/Grass,Voluntarily Complied,06/19/2020,Phone,False,0.0,"2400 South Grange Drive
Urbana, IL
(40.086079939, -88.20719112)",40.086079939,-88.20719112
5808,1501009,01/09/2015,2015,1,2500 BLOCK,S Philo Rd,01/09/2015,Snow Removal,Owner Abated,01/10/2015,Not Available,False,0.0,"2500 S Philo Rd
Urbana, IL
(40.086084013, -88.187292026)",40.086084013,-88.187292026
5809,1505060,05/15/2015,2015,5,2000 BLOCK,E Florida Av,05/15/2015,Weeds/Grass,City Abated,05/23/2015,Not Available,False,0.0,"2000 E Florida Av
Urbana, IL
(40.098883777, -88.182390492)",40.098883777,-88.182390492
5810,1109022,09/13/2011,2011,9,300 BLOCK,W High St,09/13/2011,Municipal Waste,Owner Abated,09/21/2011,Not Available,False,0.0,"300 W High St
Urbana, IL
(40.109966238, -88.210386252)",40.109966238,-88.210386252
5811,1308021,08/19/2013,2013,8,1200 BLOCK,W Beslin St,08/19/2013,Municipal Waste,Owner Abated,08/27/2013,Not Available,False,0.0,"1200 W Beslin St
Urbana, IL
(40.120347311, -88.224184965)",40.120347311,-88.224184965
5812,1108023,08/09/2011,2011,8,700 BLOCK,W High St,08/10/2011,Municipal Waste,Owner Abated,08/18/2011,Not Available,False,0.0,"700 W High St
Urbana, IL
(40.10988641, -88.216066025)",40.10988641,-88.216066025
5813,22-003282,10/18/2022,2022,10,300 Block,West Elm Street,10/18/2022,Municipal Waste,Voluntarily Complied,10/26/2022,Phone,False,0.0,"300 West Elm Street
Urbana, IL
(40.111626225, -88.210436303)",40.111626225,-88.210436303
5815,22-002384,07/27/2022,2022,7,300 Block,West Griggs Street,07/27/2022,Weeds/Grass,City Abated,10/04/2022,Phone,False,284.25,"300 West Griggs Street
Urbana, IL
(40.11446104, -88.210379686)",40.11446104,-88.210379686
5816,1105123,05/31/2011,2011,5,1600 BLOCK,E Hunter St,06/01/2011,Weeds/Grass,Owner Abated,06/09/2011,Not Available,False,0.0,"1600 E Hunter St
Urbana, IL
(40.10387729, -88.188545063)",40.10387729,-88.188545063
5818,23-001017,04/25/2023,2023,4,1000 Block,West Fairview Avenue,04/25/2023,Weeds/Grass,Voluntarily Complied,05/08/2023,Phone,False,0.0,"1000 West Fairview Avenue
Urbana, IL
(40.120107295, -88.221154907)",40.120107295,-88.221154907
5819,710032,10/08/2007,2007,10,1000 BLOCK,W Fairview Av,10/09/2007,Weeds/Grass,Owner Abated,10/17/2007,Not Available,False,0.0,"1000 W Fairview Av
Urbana, IL
(40.120107295, -88.221154907)",40.120107295,-88.221154907
5820,23-000954,04/21/2023,2023,4,1200 Block,North Broadway Avenue,04/21/2023,Weeds/Grass,City Abated,07/10/2023,Internet,False,158.0,"1200 North Broadway Avenue
Urbana, IL
(40.123817716, -88.207595652)",40.123817716,-88.207595652
5822,1708007,08/07/2017,2017,8,500 BLOCK,W California Av,08/07/2017,Weeds/Grass,Owner Abated,08/15/2017,Not Available,False,0.0,"500 W California Av
Urbana, IL
(40.108405588, -88.213217045)",40.108405588,-88.213217045
5823,23-001388,05/17/2023,2023,5,2300 Block,South Anderson Street,05/17/2023,Weeds/Grass,Voluntarily Complied,05/30/2023,Phone,False,0.0,"2300 South Anderson Street
Urbana, IL
(40.087744349, -88.199372996)",40.087744349,-88.199372996
5824,20-001638,08/19/2020,2020,8,800 Block,West Nevada Street,08/19/2020,Municipal Waste,Voluntarily Complied,08/31/2020,Phone,False,0.0,"800 West Nevada Street
Urbana, IL
(40.106555849, -88.217736731)",40.106555849,-88.217736731
5825,21-001435,06/29/2021,2021,6,900 Block,North Harvey Street,06/29/2021,Weeds/Grass,Voluntarily Complied,01/04/2022,Phone,False,0.0,"900 North Harvey Street
Urbana, IL
(40.120106984, -88.221924648)",40.120106984,-88.221924648
5826,1307026,07/23/2013,2013,7,700 BLOCK,E California Av,07/23/2013,Weeds/Grass,City Abated,07/31/2013,Not Available,False,0.0,"700 E California Av
Urbana, IL
(40.108597307, -88.200165058)",40.108597307,-88.200165058
5827,18-000613,06/07/2018,2018,6,800 Block,"S ""Cottage Grove"" Avenue",06/07/2018,Weeds/Grass,Voluntarily Complied,06/15/2018,Phone,False,0.0,"800 S Cottage Grove Avenue
Urbana, IL
(40.106879805, -88.195586841)",40.106879805,-88.195586841
5828,1610012,10/31/2016,2016,10,700 BLOCK,E Hawthorne Dr,10/31/2016,Weeds/Grass,Owner Abated,11/08/2016,Not Available,False,0.0,"700 E Hawthorne Dr
Urbana, IL
(40.102456841, -88.200044509)",40.102456841,-88.200044509
5829,20-001261,07/09/2020,2020,7,600 Block,South Urbana Avenue,07/09/2020,Weeds/Grass,Voluntarily Complied,07/17/2020,Phone,False,0.0,"600 South Urbana Avenue
Urbana, IL
(40.108463743, -88.203583819)",40.108463743,-88.203583819
5830,20-000889,05/27/2020,2020,5,200 Block,West Park Street,05/27/2020,Weeds/Grass,City Abated,07/07/2020,Phone,False,300.0,"200 West Park Street
Urbana, IL
(40.117488145, -88.20913377)",40.117488145,-88.20913377
5831,810023,10/14/2008,2008,10,800 BLOCK,W Fairview Av,10/15/2008,Weeds/Grass,Owner Abated,10/23/2008,Not Available,False,0.0,"800 W Fairview Av
Urbana, IL
(40.120291985, -88.217697967)",40.120291985,-88.217697967
5832,23-001248,05/11/2023,2023,5,700 Block,West Washington Street,05/11/2023,Weeds/Grass,Voluntarily Complied,05/19/2023,Phone,False,0.0,"700 West Washington Street
Urbana, IL
(40.105606861, -88.216065485)",40.105606861,-88.216065485
5835,1105107,05/23/2011,2011,5,1100 BLOCK,N Lincoln Av,05/24/2011,Weeds/Grass,Owner Abated,06/01/2011,Not Available,False,0.0,"1100 N Lincoln Av
Urbana, IL
(40.121904973, -88.219384696)",40.121904973,-88.219384696
5836,705052,05/10/2007,2007,5,1300 BLOCK,E Michigan Av,05/10/2007,Weeds/Grass,Owner Abated,05/18/2007,Not Available,False,0.0,"1300 E Michigan Av
Urbana, IL
(40.101552624, -88.192799904)",40.101552624,-88.192799904
5837,23-001165,05/09/2023,2023,5,300 Block,East Illinois Street,05/09/2023,Weeds/Grass,City Abated,07/10/2023,Phone,False,463.0,"300 East Illinois Street
Urbana, IL
(40.109358489, -88.204846688)",40.109358489,-88.204846688
5838,808064,08/21/2008,2008,8,2100 BLOCK,E Main St,08/22/2008,Municipal Waste,Owner Abated,08/30/2008,Not Available,False,0.0,"2100 E Main St
Urbana, IL
(40.113033889, -88.180915987)",40.113033889,-88.180915987
5841,709001,09/04/2007,2007,9,1000 BLOCK,N Goodwin Av,09/05/2007,Weeds/Grass,Owner Abated,09/13/2007,Not Available,False,0.0,"1000 N Goodwin Av
Urbana, IL
(40.121318263, -88.224066307)",40.121318263,-88.224066307
5843,1106031,06/08/2011,2011,6,2000 BLOCK,Easy St,06/09/2011,Weeds/Grass,Owner Abated,06/17/2011,Not Available,False,0.0,"2000 Easy St
Urbana, IL
(40.105027287, -88.183069265)",40.105027287,-88.183069265
5845,1008027,08/11/2010,2010,8,1600 BLOCK,Ivanhoe Way,08/12/2010,Weeds/Grass,Owner Abated,08/20/2010,Not Available,False,0.0,"1600 Ivanhoe Way
Urbana, IL
(40.102304581, -88.18864421)",40.102304581,-88.18864421
5846,1507005,07/02/2015,2015,7,500 BLOCK,W High St,07/02/2015,Municipal Waste,Owner Abated,07/10/2015,Not Available,False,0.0,"500 W High St
Urbana, IL
(40.109926211, -88.21322635)",40.109926211,-88.21322635
5848,21-002471,10/19/2021,2021,10,1300 Block,East Eastern Drive,10/19/2021,Weeds/Grass,City Abated,06/01/2022,Phone,False,0.0,"1300 East Eastern Drive
Urbana, IL
(40.103823087, -88.193434123)",40.103823087,-88.193434123
5849,705102,05/23/2007,2007,5,1400 BLOCK,Jackson St,05/24/2007,Municipal Waste,Owner Abated,06/01/2007,Not Available,False,0.0,"1400 Jackson St
Urbana, IL
(40.100572714, -88.189595068)",40.100572714,-88.189595068
5851,1005105,05/24/2010,2010,5,200 BLOCK,S Poplar St,05/25/2010,Weeds/Grass,Owner Abated,06/02/2010,Not Available,False,0.0,"200 S Poplar St
Urbana, IL
(40.111950828, -88.194424993)",40.111950828,-88.194424993
5852,1606006,06/01/2016,2016,6,200 BLOCK,N Busey Av,06/01/2016,Weeds/Grass,City Abated,06/09/2016,Not Available,False,0.0,"200 N Busey Av
Urbana, IL
(40.113435512, -88.217612328)",40.113435512,-88.217612328
5853,708088,08/27/2007,2007,8,1300 BLOCK,W Beslin St,08/28/2007,Weeds/Grass,Owner Abated,09/05/2007,Not Available,False,0.0,"1300 W Beslin St
Urbana, IL
(40.120346776, -88.225795654)",40.120346776,-88.225795654
5854,1205119,05/30/2012,2012,5,300 BLOCK,S Busey Av,05/30/2012,Weeds/Grass,City Abated,06/07/2012,Not Available,False,0.0,"300 S Busey Av
Urbana, IL
(40.110563774, -88.217663648)",40.110563774,-88.217663648
5856,1006140,06/28/2010,2010,6,100 BLOCK,N Poplar St,06/29/2010,Weeds/Grass,City Abated,07/07/2010,Not Available,False,0.0,"100 N Poplar St
Urbana, IL
(40.113029018, -88.194577379)",40.113029018,-88.194577379
5857,1009024,09/20/2010,2010,9,1100 BLOCK,N Gregory St,09/21/2010,Municipal Waste,Owner Abated,09/29/2010,Not Available,False,0.0,"1100 N Gregory St
Urbana, IL
(40.122469059, -88.221487452)",40.122469059,-88.221487452
5859,19-001786,08/21/2019,2019,8,1100 Block,East Scovill Street,08/21/2019,Weeds/Grass,City Abated,09/12/2019,Phone,False,252.0,"1100 East Scovill Street
Urbana, IL
(40.085835418, -88.195581276)",40.085835418,-88.195581276
5860,907008,07/07/2009,2009,7,1500 BLOCK,S Montgomery St,07/08/2009,Weeds/Grass,City Abated,07/16/2009,Not Available,False,0.0,"1500 S Montgomery St
Urbana, IL
(40.099997097, -88.173709564)",40.099997097,-88.173709564
5861,1606026,06/07/2016,2016,6,200 BLOCK,W Green St,06/07/2016,Weeds/Grass,Owner Abated,06/15/2016,Not Available,False,0.0,"200 W Green St
Urbana, IL
(40.110815703, -88.208986903)",40.110815703,-88.208986903
5862,18-000464,05/10/2018,2018,5,1500 Block,S Rutledge Drive,05/10/2018,Weeds/Grass,Voluntarily Complied,05/22/2018,Phone,False,0.0,"1500 S Rutledge Drive
Urbana, IL
(40.100958801, -88.183647868)",40.100958801,-88.183647868
5864,1105077,05/18/2011,2011,5,700 BLOCK,W Illinois St,05/19/2011,Weeds/Grass,Owner Abated,05/27/2011,Not Available,False,0.0,"700 W Illinois St
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
5865,21-001014,05/19/2021,2021,5,1600 Block,South Ogelthorpe Avenue,05/19/2021,Weeds/Grass,Voluntarily Complied,05/27/2021,Phone,False,0.0,"1600 South Ogelthorpe Avenue
Urbana, IL
(40.099164831, -88.174818194)",40.099164831,-88.174818194
5868,21-000968,05/12/2021,2021,5,400 Block,West Springfield Avenue,05/12/2021,Weeds/Grass,Voluntarily Complied,06/01/2021,Phone,False,0.0,"400 West Springfield Avenue
Urbana, IL
(40.112447283, -88.211874958)",40.112447283,-88.211874958
5869,912011,12/21/2009,2009,12,1200 BLOCK,Patton Pl,12/21/2009,Weeds/Grass,Owner Abated,12/29/2009,Not Available,False,0.0,"1200 Patton Pl
Urbana, IL
(40.103072999, -88.193324985)",40.103072999,-88.193324985
5870,1212002,12/11/2012,2012,12,2200 BLOCK,E Washington St,12/11/2012,Municipal Waste,Owner Abated,12/19/2012,Not Available,False,0.0,"2200 E Washington St
Urbana, IL
(40.10577216, -88.179484036)",40.10577216,-88.179484036
5872,1205091,05/17/2012,2012,5,400 BLOCK,S Grove St,05/17/2012,Weeds/Grass,Owner Abated,05/25/2012,Not Available,False,0.0,"400 S Grove St
Urbana, IL
(40.109953358, -88.201274212)",40.109953358,-88.201274212
5874,22-003717,12/20/2022,2022,12,800 Block,West Springfield Avenue,12/20/2022,Municipal Waste,Voluntarily Complied,12/28/2022,Phone,False,0.0,"800 West Springfield Avenue
Urbana, IL
(40.112896831, -88.217855562)",40.112896831,-88.217855562
5875,705062,05/14/2007,2007,5,1600 BLOCK,Abercorn St,05/15/2007,Weeds/Grass,Owner Abated,05/23/2007,Not Available,False,0.0,"1600 Abercorn St
Urbana, IL
(40.099194429, -88.172558219)",40.099194429,-88.172558219
5877,1508028,08/11/2015,2015,8,600 BLOCK,W Nevada St,08/11/2015,Municipal Waste,Owner Abated,08/19/2015,Not Available,False,0.0,"600 W Nevada St
Urbana, IL
(40.1065971, -88.214575049)",40.1065971,-88.214575049
5879,22-001887,06/14/2022,2022,6,1900 Block,East Galena Street,06/14/2022,Weeds/Grass,City Abated,10/04/2022,Phone,False,422.5,"1900 East Galena Street
Urbana, IL
(40.081397412, -88.183472716)",40.081397412,-88.183472716
5882,1108078,08/31/2011,2011,8,300 BLOCK,S Coler Av,09/01/2011,Municipal Waste,Owner Abated,09/09/2011,Not Available,False,0.0,"300 S Coler Av
Urbana, IL
(40.110582718, -88.215915072)",40.110582718,-88.215915072
5883,21-001771,08/06/2021,2021,8,1100 Block,South Austin Drive,08/06/2021,Weeds/Grass,City Abated,01/04/2022,Phone,False,274.5,"1100 South Austin Drive
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
5884,23-002435,08/21/2023,2023,8,2200 Block,South Pond Street,08/21/2023,Weeds/Grass,Voluntarily Complied,09/06/2023,Phone,False,0.0,"2200 South Pond Street
Urbana, IL
(40.089843777, -88.193723721)",40.089843777,-88.193723721
5885,907022,07/14/2009,2009,7,100 BLOCK,E George Huff Dr,07/15/2009,Weeds/Grass,Owner Abated,07/23/2009,Not Available,False,0.0,"100 E George Huff Dr
Urbana, IL
(40.090998704, -88.206967057)",40.090998704,-88.206967057
5886,1404016,04/15/2014,2014,4,1300 BLOCK,N Berkley Av,04/15/2014,Municipal Waste,Owner Abated,04/23/2014,Not Available,False,0.0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)",40.124858616,-88.206426857
5887,1208011,08/06/2012,2012,8,1600 BLOCK,S Hillcrest Dr,08/06/2012,Municipal Waste,Owner Abated,08/14/2012,Not Available,False,0.0,"1600 S Hillcrest Dr
Urbana, IL
(40.099423979, -88.203357034)",40.099423979,-88.203357034
5888,19-001701,08/13/2019,2019,8,1400 Block,East Stout Drive,08/13/2019,Weeds/Grass,City Abated,09/10/2019,Phone,False,246.5,"1400 East Stout Drive
Urbana, IL
(40.110632331, -88.1925279)",40.110632331,-88.1925279
5889,22-002633,08/16/2022,2022,8,700 Block,West Illinois Street,08/16/2022,Municipal Waste,Voluntarily Complied,08/24/2022,Phone,False,0.0,"700 West Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
5890,19-002417,11/18/2019,2019,11,500 Block,"South ""Cottage Grove"" Avenue",11/18/2019,Municipal Waste,Voluntarily Complied,11/26/2019,Phone,False,0.0,"500 South Cottage Grove Avenue
Urbana, IL
(40.109334311, -88.19563304)",40.109334311,-88.19563304
5891,22-000155,01/27/2022,2022,1,2000 Block,East Vermont Avenue,01/27/2022,Municipal Waste,Voluntarily Complied,02/07/2022,Phone,False,0.0,"2000 East Vermont Avenue
Urbana, IL
(40.101025624, -88.182795599)",40.101025624,-88.182795599
5892,710052,10/16/2007,2007,10,500 BLOCK,Sunny Ln,10/16/2007,Weeds/Grass,Owner Abated,10/24/2007,Not Available,False,0.0,"500 Sunny Ln
Urbana, IL
(40.108293218, -88.172554398)",40.108293218,-88.172554398
5893,23-001938,07/05/2023,2023,7,100 Block,South Lynn Street,07/05/2023,Weeds/Grass,Voluntarily Complied,08/30/2023,Phone,False,0.0,"100 South Lynn Street
Urbana, IL
(40.112923065, -88.197764581)",40.112923065,-88.197764581
5894,706013,06/05/2007,2007,6,200 BLOCK,W Iowa St,06/07/2007,Weeds/Grass,City Abated,06/15/2007,Not Available,False,0.0,"200 W Iowa St
Urbana, IL
(40.104728503, -88.209713325)",40.104728503,-88.209713325
5895,905076,05/21/2009,2009,5,500 BLOCK,E Florida Av,05/21/2009,Weeds/Grass,Owner Abated,05/29/2009,Not Available,False,0.0,"500 E Florida Av
Urbana, IL
(40.098407302, -88.202255097)",40.098407302,-88.202255097
5896,18-000641,06/15/2018,2018,6,1300 Block,W Beech Street,06/15/2018,Weeds/Grass,City Abated,10/31/2018,Phone,False,227.0,"1300 W Beech Street
Urbana, IL
(40.122227288, -88.225824887)",40.122227288,-88.225824887
5897,1108053,08/23/2011,2011,8,1000 BLOCK,S Lincoln Av,08/23/2011,Municipal Waste,Owner Abated,08/31/2011,Not Available,False,0.0,"1000 S Lincoln Av
Urbana, IL
(40.104564999, -88.219145128)",40.104564999,-88.219145128
5898,708108,08/29/2007,2007,8,1100 BLOCK,W Hill St,08/30/2007,Weeds/Grass,City Abated,09/07/2007,Not Available,False,0.0,"1100 W Hill St
Urbana, IL
(40.119256963, -88.221825376)",40.119256963,-88.221825376
5899,21-001393,06/24/2021,2021,6,100 Block,North Webber Street,06/24/2021,Municipal Waste,Voluntarily Complied,09/28/2021,Phone,False,0.0,"100 North Webber Street
Urbana, IL
(40.113038009, -88.199136043)",40.113038009,-88.199136043
5900,1204054,04/19/2012,2012,4,2200 BLOCK,E Michigan Av,04/19/2012,Weeds/Grass,Owner Abated,04/27/2012,Not Available,False,0.0,"2200 E Michigan Av
Urbana, IL
(40.101861593, -88.179403556)",40.101861593,-88.179403556
5901,22-003170,10/04/2022,2022,10,300 Block,East Florida Avenue,10/04/2022,Weeds/Grass,Voluntarily Complied,12/01/2022,Phone,False,0.0,"300 East Florida Avenue
Urbana, IL
(40.098387311, -88.20483513)",40.098387311,-88.20483513
5902,23-001139,05/08/2023,2023,5,600 Block,West Stoughton Street,05/08/2023,Weeds/Grass,Voluntarily Complied,05/16/2023,Phone,False,0.0,"600 West Stoughton Street
Urbana, IL
(40.11300468, -88.214618736)",40.11300468,-88.214618736
5903,18-000580,05/29/2018,2018,5,1300 Block,S Broadway Avenue,05/29/2018,Weeds/Grass,Voluntarily Complied,06/06/2018,Email,False,0.0,"1300 S Broadway Avenue
Urbana, IL
(40.10192306, -88.207094593)",40.10192306,-88.207094593
5904,21-002478,10/20/2021,2021,10,700 Block,South Wabash Avenue,10/20/2021,Weeds/Grass,Voluntarily Complied,05/10/2022,Phone,False,0.0,"700 South Wabash Avenue
Urbana, IL
(40.10767355, -88.196573983)",40.10767355,-88.196573983
5907,1405007,05/09/2014,2014,5,700 BLOCK,E California Av,05/09/2014,Weeds/Grass,Owner Abated,05/17/2014,Not Available,False,0.0,"700 E California Av
Urbana, IL
(40.108597307, -88.200165058)",40.108597307,-88.200165058
5910,1208064,08/27/2012,2012,8,700 BLOCK,E Park St,08/27/2012,Municipal Waste,City Abated,09/05/2012,Not Available,False,0.0,"700 E Park St
Urbana, IL
(40.117302102, -88.2004739)",40.117302102,-88.2004739
5913,1409029,09/16/2014,2014,9,1200 BLOCK,S Lanore Dr,09/16/2014,Weeds/Grass,City Abated,09/24/2014,Not Available,False,0.0,"1200 S Lanore Dr
Urbana, IL
(40.101654282, -88.186453136)",40.101654282,-88.186453136
5916,22-001073,05/10/2022,2022,5,1000 Block,West Hill Street,05/10/2022,Weeds/Grass,Voluntarily Complied,05/18/2022,Phone,False,0.0,"1000 West Hill Street
Urbana, IL
(40.119257286, -88.221114925)",40.119257286,-88.221114925
5917,801006,01/09/2008,2008,1,2000 BLOCK,E Vermont St,01/10/2008,Municipal Waste,Owner Abated,01/18/2008,Not Available,False,0.0,"2000 E Vermont St
Urbana, IL
(40.101025624, -88.182795599)",40.101025624,-88.182795599
5918,22-002072,06/23/2022,2022,6,200 Block,West High Street,06/23/2022,Weeds/Grass,Voluntarily Complied,07/05/2022,Phone,False,0.0,"200 West High Street
Urbana, IL
(40.109986214, -88.208966293)",40.109986214,-88.208966293
5919,701005,01/03/2007,2007,1,1200 BLOCK,N Busey Av,01/04/2007,Municipal Waste,Owner Abated,01/12/2007,Not Available,False,0.0,"1200 N Busey Av
Urbana, IL
(40.122772643, -88.216912359)",40.122772643,-88.216912359
